	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20
Actinobacteria	131597.033620918	266595.258190372	96497.943965456	51745.8565967243	18751.2354440824	178872.16582626	670631.646661462	595304.041248277	5215.23442437889	78440.4496141536	104556.721501544	148854.038064551	246773.171305811	614630.683211638	297744.148594257	59805.1421965216	57168.6101644403	156264.04143857	109022.706354599	398045.702984119
Asteroleplasma	237.317708124043	231.396420262539	349.244280629466	287.154130241807	279.497537569574	271.260699034912	227.401178914725	219.042882944856	293.13336619623	252.663507399221	279.068853860483	222.36231115314	232.711403822594	218.239925485779	266.575826856532	319.333917338005	422.954833417707	235.356245620578	234.288567691694	266.003613947636
Bacilli	14894.0471340413	1	58323.1161072614	80395.5676349953	390900.877632592	242028.20036402	519060.244693051	263841.014742232	1	373301.747407832	41687.4823594987	1	44055.5003018531	380232.49893507	374034.855491947	64339.3241661009	10888.132080974	6402.56720210674	13537.3002242365	53004.1932394137
Bacteroidetes	416566.979138761	444524.696097875	1339275.56545845	169412.736569788	218642.378051338	18304.111358061	56127.7148851085	21283.5115461242	2874233.72954313	1207922.86072748	443547.214952838	1956077.83224936	15575.894664176	30385.9405674978	20552.9822056307	29778.8010845415	134834.664256745	21028.25707325	1455922.51276977	495146.960099627
Clostridium cluster I	1	47733.310701596	1	1	575.795075397659	6028.15257474429	1	123373.350013765	411.42557564242	743.812984928806	3904.01306511254	1	3856.93117652734	5254.94239902156	59057.8229742232	9523.3570044364	6292.25180746548	5962.65291878356	2868.891625768	21967.4854488116
Clostridium cluster III	88627.4750587958	7231.50791839372	20286.0341052487	34572.5564793181	55303.3671801019	1	39773.8800131459	37054.3395936046	78.1092732726744	17275.7885082698	10388.8373072207	6431.67526973878	98748.3474076573	651.322191618127	87116.8465977521	1323.3727796691	5697.97305352033	10194.1920365349	4770.08235165529	48844.549395516
Clostridium cluster IV	1660065.33780367	1046043.43402195	1652834.31418155	1033732.14448513	1102341.85023295	36502.3684464867	1607577.63807329	256206.984006789	1124084.34587409	1332319.24962222	974642.039717269	1289234.2761467	170829.663777546	54248.8897634658	176993.524930052	42867.9662027597	1896538.93833244	367817.596229785	177602.512222907	1830738.40119371
Clostridium cluster IX	46980.0970046784	8938.14977167136	45081.6892246443	7768.14855429175	10245.8170181462	1	165847.578519981	5082.05596037475	41690.3164587384	25130.5683012265	43633.8618457986	58057.7294327084	1	54243.051763177	5811.09486755191	6752.33728859867	19450.6716875539	5509.20398284404	13650.0666689104	35549.0624228148
Clostridium cluster XI	10945.31237888	26306.0161905641	102810.911710568	42077.2814651678	8090.83531036165	6027.62088183759	40390.9276911149	101717.806488617	4307.35161082438	19190.6431610447	42985.4073495654	10369.2775536673	6951.49550348473	3627.86584635724	17005.7808954	5084.64444107687	69998.5830370396	27321.9161810203	4981.69872589642	74622.7299464978
Clostridium cluster XIII	1	1	1	1	1	1	1	1	1	1	1	1	9.52896871641979	1	1	973.595708737327	1	1	266.749362355619	1
Clostridium cluster XIVa	2102269.32515365	522455.358051306	2680941.08033394	2626934.61917881	1999976.76989873	1372233.541335	2756477.56001473	1925312.73950443	1373865.72059116	2902987.4933046	1641317.22998727	2106218.25641478	1678119.0536464	100809.60144231	810362.505763513	75243.1597553811	1393084.9093043	1615792.45812269	779915.692733637	2758682.59695045
Clostridium cluster XV	1	1	1	264.632747822056	1	1	1	1	1	1	1	1	679.891239130904	1	1	1069.68502271885	1	1	320.870222775537	1
Clostridium cluster XVI	1432.18961205183	3799.05377429051	8055.73119409858	1775.64862430895	1683.4952642898	4787.6346047659	230.094166829861	733.89293926177	3050.374531877	3264.00471598157	44030.6538850215	32793.964391552	112.403402635159	3224.77210582697	1718.59593681053	2741.48541733667	3773.70915912625	557.975882117817	4074.38948983264	6371.12668621474
Clostridium cluster XVII	251.220994245579	239.542254353761	655.052281052258	292.036028228559	296.735153749992	1543.66181960893	1053.37148668978	244.458434622849	301.536396142801	426.568094072811	3845.95016610436	571.17164525914	353.900460981586	219.892975351829	266.087281069869	561.813302887597	438.920217730964	333.093826449612	225.104683623396	332.06632629941
Clostridium cluster XVIII	2784.97021126472	1859.4180609742	29531.7023570736	6502.85125170254	4197.49275582757	75535.4572102022	33730.9149184245	5754.26093998829	2463.55071929182	12637.017406949	2854.89705307219	16168.4889629694	9396.37737615238	1408.7684410601	21730.0286978361	2290.40747561832	3554.15668347541	8092.01336696765	14564.8727859013	4004.02068385535
Cyanobacteria	239.043433168928	231.025930642113	297.770006621969	241.185336402205	237.953325513438	218.450286756917	351.656666571906	180.093196787338	646.898622286468	207.260336657242	224.141296376062	185.323987868972	196.015853050957	180.715698673599	230.903533581774	285.237327075174	336.922974673258	202.584339584517	198.871617959881	270.956176217884
Fusobacteria	685.525758505677	675.522195867586	1054.1376117783	812.110428413654	828.476295377441	805.811878052068	663.79125881908	654.562406762157	844.259310701534	758.735935097574	1001.52534727919	654.602542349893	674.084000417311	644.330976686234	819.497374810843	1050.54479245811	1293.64497107567	696.224888443468	693.507022716254	763.021198206109
Proteobacteria	18753.379177654	23828.063317328	19703.0961388474	14746.7446889473	9047.5215811197	17723.376818772	14696.0293539369	26697.4600974972	43776.2531605802	24859.6698983763	22668.2614255377	13051.5470625412	5402.89409869862	108093.726423905	10489.0439128268	86685.7462980936	17971.9786317809	8318.27837313674	31382.3578391442	19800.2504440161
Spirochaetes	332.405619093439	371.448988242104	508.336800891352	388.583515983392	413.33809619515	399.043181887562	323.632552845912	318.836805022989	425.884965753503	361.154878083489	419.32818453592	319.516166930457	336.069348573261	334.689084049463	396.151599111825	417.893573695413	679.859445353747	366.748651156362	343.687751604517	361.253712348449
Uncultured Clostridiales	126655.222025355	659068.713029026	129563.637280713	9499.01072770695	12020.5523375978	3674.67100833881	53605.0470428393	1	30588.386785557	5881.31369743021	4595.55850080549	3973.36951540553	3308.44936189054	5641.5883443112	5163.01465210875	13195.8288977352	193930.363813574	37292.1180940562	7714.47671299121	252733.651143687
Uncultured Mollicutes	4353.73710750301	5193.31599219938	35530.2159719717	3607.01810406953	2736.07508863411	2284.76608175803	2311.51915725841	1380.65534289985	3239.44170702081	2207.71530288429	2502.51222864856	2183.26528454699	1923.0846327271	1874.73689885518	2208.29062016373	2819.63456680379	61380.5397783762	4521.99110763644	2001.83677723309	27856.7315148294
Verrucomicrobia	1519.53001293645	50554.0649389325	12140.4528100594	1	1	1727.43417893027	3553.83445028182	3868.79777458388	1324.2544827687	148.188374243534	315.197740216093	2883.77120596333	1	633.892220993272	1	592.781694153714	494.552304614266	1	17564.2304274306	1
