	Sample-1	Sample-2	Sample-3	Sample-4	Sample-5	Sample-6	Sample-7	Sample-8	Sample-9	Sample-10	Sample-11	Sample-12	Sample-13	Sample-14	Sample-15	Sample-16	Sample-17	Sample-18	Sample-19	Sample-20
Klebisiella pneumoniae et rel.	2.66357659776856	2.745795963236	2.78106369840549	2.66761732274648	2.63739475703119	2.92647943923633	2.89545471104352	2.85061652008297	2.66165526632579	2.83880790662784	2.93779992536564	2.68628730124475	2.6055737111978	3.63366361657287	2.69544746131518	4.18561617969896	2.81434392979357	2.59357157293633	2.56267919593541	3.06169648574799
Lachnobacillus bovis et rel.	5.26702046555774	4.05355930336325	5.01395116742636	4.19907703133734	4.54876164479005	3.82970694803348	4.8050427759592	4.74372174544638	5.32371084728311	4.91822799200273	4.23933430921737	4.89470730513446	4.2843339949509	3.12064903789321	3.5416521274567	3.19762815721393	4.96533560702405	4.63744046980414	3.99737434708333	4.91461223471544
Lachnospira pectinoschiza et rel.	5.11401113987629	4.53305249917365	5.14557593113734	4.97921217325503	4.81593083869464	4.74647638303827	5.06049485571378	5.0045271851622	4.78217023880867	5.14724988098925	5.04199638290518	5.37197272691262	5.07349007576481	3.46687955667663	4.49768756428789	3.65763095262723	4.85245818217631	5.26528086920049	4.95341371138332	5.57617741811194
Lactobacillus catenaformis et rel.	1.57553167085321	1.57142808762693	1.75692305769249	1.65908876994588	1.64145832002223	1.64955321826585	1.55614099495946	1.56006226113907	1.65863410573878	1.60795547260137	1.69993104705855	1.55459055477467	1.55076971024717	1.57110210106055	1.67055588889813	1.63329517411899	1.85024518629361	1.60544014892914	1.5746946941583	1.60026119013302
Lactobacillus gasseri et rel.	3.423169188534	3.26561743389819	3.53488409979223	3.36165430135884	4.7254944849494	3.24534274697071	3.45804885054361	3.19617174634662	3.3723981229861	3.85709877934777	3.41774158018668	3.28532264862441	3.21251179648727	3.22781504071831	3.34586886735214	3.52482003017632	3.93331902369624	3.24644570178976	3.18123816791266	3.61906871640977
Lactobacillus plantarum et rel.	3.26706264304061	3.23894385087099	3.43250778777583	3.34495343266207	4.37203021058711	3.30840585644351	3.78329998962009	3.22792517838126	3.33645400659227	3.37119070463297	3.42200897024253	3.22897334884699	3.24182335615728	3.22983801499432	3.46328717022468	3.45932661985852	3.6026034954272	3.26728149577922	3.24782705153413	3.37750952590492
Lactobacillus salivarius et rel.	2.58559821827005	2.55221308376315	2.74964791318452	2.66364041954116	3.57145632857847	2.63535529517511	2.58125460602249	2.64382493304551	2.65600486760743	2.62194798194337	2.69877100257405	2.54321198613638	2.62033839763404	2.94686081681928	2.80114771431503	2.6993132729363	2.84885968036461	2.580938584724	2.55498608944491	2.71542272616174
Lactococcus	2.87426247335993	2.70446573731668	2.89887328709985	3.76871890684675	2.91961045136004	2.79489246634381	2.81831359532989	2.72608378343613	2.79512050967496	2.79934182984396	2.9009603006696	2.7573156865947	2.71426002201901	3.11241968020398	2.78203374378561	2.87083387932545	3.00995980056106	2.75422794995635	2.82164285414085	2.75586734108847
Leminorella	2.11305544894396	2.00744130251447	2.58989661213343	2.09878589128433	2.1187715866194	2.09501091034871	2.03456148292903	1.98602445947042	2.48001695831882	2.31671879575434	2.12209096655457	2.26096742673591	2.00084567671453	2.10092124053285	2.09200203235838	2.13455995521712	2.34334051202102	2.01156288678169	2.11554864395	2.12224173241834
Megamonas hypermegale et rel.	2.48744068889704	2.47405644512589	2.64701738112345	2.55009743174906	2.56730970392447	2.5357795470306	2.45837367792676	2.45590721064642	2.62717902577172	2.50830392964433	2.58187497015573	2.46819979976365	2.47090314341585	2.45521393947381	2.54613185703298	2.60062686647055	2.76507018905321	2.5057253046814	2.49912875066991	2.5101035193996
Megasphaera elsdenii et rel.	2.76520395134079	2.72162573636768	4.57971412453631	2.79845420905002	2.81842465456914	2.76509274806096	5.03011094886139	2.6889347106127	2.93360089790027	2.83508502869375	2.91097694964126	3.04239225518229	2.70995661455718	3.98647446233272	2.7858119882044	2.89955777937637	3.07107625472942	2.72880047981897	2.72813998135533	2.80024975961157
Methylobacterium	1.91480058316538	1.86037837361027	2.07500908770024	1.96455116117421	1.9726219317592	1.94940153759502	1.86364249307146	1.86212636911944	1.9700500246291	1.93129544435109	1.95652285361108	1.85529061329313	1.87944000735072	1.86357977577309	1.97135333994437	1.92045112361501	2.15610516455906	1.90644596004516	1.91337425931247	1.93930412527955
Micrococcaceae	2.28586507734685	2.2712178459558	2.46488379158308	2.36629520743056	2.4153646174578	2.3629605054504	2.28681108547913	2.29060990563374	2.37894971014308	2.32844747853734	2.41587748135221	2.26097721130998	2.27376682225252	2.41469112884548	2.46246225693456	2.83123459856858	2.57827705421161	2.28542369776903	2.28072197973309	2.34372178814171
Mitsuokella multiacida et rel.	2.61042538019925	2.54734189632672	2.71482451570888	2.6267836242331	2.60891122506452	2.58549111524424	2.53562685424953	2.50918477093855	2.84438130344914	2.55084537399093	2.62043110067379	2.50254757036969	2.52562100410052	2.51271408913238	2.59362726861502	2.73914498299571	2.81460434850265	2.53908364039908	2.5371919445191	4.45145448373551
Moraxellaceae	2.4905391713432	2.52913900824231	2.652859151119	2.55184983238336	2.57943192971948	2.54672113027718	2.46951977083346	2.45594769805939	2.56920934967545	2.51971349965334	2.56446949012674	2.45659453983973	2.47707267480334	2.46691268132416	2.54634405407292	2.69513268521145	2.76363956671071	2.5018635181178	2.48751721989103	2.53263873070499
Novosphingobium	2.13968051918267	2.14652265916421	2.46687487025589	2.19299858197768	2.37265967010213	2.15363790712857	2.10485170177537	2.06748722791433	2.30760690090568	2.18032904316706	2.18369449755313	2.09224892403505	2.11883275993783	2.0636401557216	2.1379225398846	2.13406043413541	2.4584309161429	2.1028769834473	2.09505106201588	2.27846479460199
Oceanospirillum	2.90948524102231	2.91388654119532	3.16149453541463	2.97587256014262	2.9855473221192	3.01171366552541	2.93925735631182	3.09786578379034	3.49677492552801	2.94875370138151	3.00046607449076	2.88073077728933	2.90655292418536	3.05083699721725	2.9803429277648	3.40122518052727	3.17384003891162	2.92828029587209	2.9119145008588	3.2919582093785
Oscillospira guillermondii et rel.	5.21605452134211	5.63085479336013	5.40669188027337	4.66145448897823	4.70779754516946	3.45813067031734	5.49553448810807	3.97542397222239	5.26790418890316	4.43821074330739	4.20819185803961	5.09760068094204	3.41039626180634	3.3960304902861	3.51109720584298	3.72953381827109	5.35309851423806	4.31049567122572	4.17850954118316	5.53761321175375
Outgrouping clostridium cluster XIVa	4.71038685787372	4.6471868695584	4.90431166021155	4.97835955475493	4.74359463518975	4.45113391334737	5.21482157914293	5.04009328667123	4.56560950390122	5.08762261806675	4.73389143036145	4.96395843164435	4.84908403543529	3.48688062371813	4.3763949621985	3.60857195608379	4.94763051142704	4.67161754142937	4.26744912653709	5.07286321445759
Oxalobacter formigenes et rel.	3.70136227244966	3.81959619529555	3.72168611915195	3.62655413498754	3.16511371906255	3.22061583000147	3.52394770678113	4.13812132848676	3.80707431106876	3.5307623915631	3.65725983032232	3.29374851073345	2.74828981380707	2.80052791589041	2.93485377258996	2.89294957864548	3.38501113274645	3.11503692609835	2.84017445002521	3.51301278880567
Papillibacter cinnamivorans et rel.	4.66704147274715	3.8477817685131	4.5259804946058	4.04380787219443	4.35975728394867	3.61222358757728	4.51675626131772	3.4140018683973	4.1818534010966	4.354150232155	4.03392963000229	4.35245932561056	3.6698241812242	3.6058004462361	3.51817775297495	3.20490523125955	4.2300014204849	4.07437221180046	3.04507085162749	4.62109063841717
Parabacteroides distasonis et rel.	4.74938131121152	4.8674030149935	5.22092582662961	4.31933605674875	4.47724610126355	3.27582799310141	3.71168937712981	3.29976697215374	5.82956308716597	5.02382699488949	4.52823480068207	5.39518274180177	3.21960974647381	3.37173903482956	3.34076654186265	3.49442310984067	4.1195721154483	3.33877122777226	5.37001954784957	4.66565383727727
Peptococcus niger et rel.	3.70755021273325	3.65931586316147	3.65641350746858	3.43481889241273	3.14186121656875	2.88710054630995	4.31707087817503	3.44246450040804	3.17902159261127	3.85759059602087	4.04997182260609	2.8642014546359	2.84374981650672	2.80663300951858	2.91849731860618	3.06520610213133	4.07473338374843	3.32965394069665	2.83035756419766	3.65402334509061
Peptostreptococcus anaerobius et rel.	2.39108060249024	2.35162827279448	2.58972351693619	2.53137246128203	2.56945591152563	2.44272276830377	2.41052401281205	2.41341453189201	2.45281369183991	2.4728659363397	2.53623013768938	2.35277576722067	2.3487876229881	2.70519485561638	2.45580913171892	2.71320398169236	2.64932008638803	2.38659842305129	2.3717171515472	2.56904751915681
Peptostreptococcus micros et rel.	2.94763514927552	2.95836381325489	3.12140574073712	3.0217882186018	3.0437964012872	3.01875979341928	3.03270838959035	2.93279829587847	3.04620780773046	2.99089269353433	3.03430593894285	2.92515892178717	2.94369394602893	2.93545438325243	3.02536864452294	3.17859189765409	3.23791231685055	2.97979986315805	2.96479538467131	2.99469544134911
Phascolarctobacterium faecium et rel.	3.18215173734291	3.66406505921857	3.23529972340182	3.82766249000071	3.13268378837852	3.11055212266581	3.04045284577888	3.02396941800827	3.40205898888443	3.08494700058249	3.15500671844807	4.78711504542143	3.04624944157892	3.03056877450123	3.11106672256817	3.32624263983238	3.34299376924933	3.11748325079329	4.08274174599929	3.37807560864102
Prevotella melaninogenica et rel.	3.36332309919612	4.09713697202296	4.63658383173845	3.23498378783669	3.24417493662025	3.21462020221336	3.14340083278198	3.12643248412251	5.44992897965738	3.27769670575733	4.22789201526243	3.24684830818483	3.14543662751038	3.14021211271457	3.34155856879798	3.3805339313718	3.93280834185467	3.34983452054955	3.17935603204181	4.9011576037785
Prevotella oralis et rel.	3.88721974557927	3.46408788020417	4.37001792675185	3.36004839633629	3.26498358984909	2.83505008854847	3.20833230452245	2.81239265976086	4.7598115248517	4.6200681632972	3.85753944010368	4.86798343827396	2.78167350315034	2.83535732362423	2.88080732117602	3.022728615494	3.2805091617442	2.81578941422666	4.52585277001658	4.05066535583275
Prevotella ruminicola et rel.	3.97605711111393	3.33808142036045	4.44079559454058	3.55903229537331	3.53148374216254	2.77830127353398	3.23197081423563	2.81890590109608	5.03697541738766	4.54970839407876	3.85375710568423	4.798976540036	2.71264449015105	2.83902281505277	2.79605550531584	3.01238970207582	3.24074728418219	2.73884689279794	4.7984878899324	3.92127591236881
Prevotella tannerae et rel.	4.40948160150886	4.45447457906404	4.45485805610696	3.90039003428838	3.8962939330599	2.96069561636374	3.53910802264824	2.93898639733	5.27861917456638	4.96752988521247	4.11115786045213	5.15045352761552	2.9066620420176	3.09295305030083	3.01386100537251	3.1372943719422	3.93604807826949	2.96428062903657	4.93555457328579	4.68894587486988
Propionibacterium	2.79514016653233	2.69927409979686	3.05360615536186	2.92506690958335	2.90111345439026	2.74000654178754	3.11970229131808	2.68062447131646	3.02579402497912	3.22166570471888	2.82862027504506	3.19968847182169	2.66535197128142	2.65959924550184	2.77874431195452	3.05529059007286	2.99198580374643	2.74158672116379	2.72612279566443	2.9168399878667
Proteus et rel.	2.67663603281441	2.67333507541888	2.88022466657113	2.73791615935924	2.76170401508968	2.74072876692982	2.70240671743047	2.63508523406069	2.76150271007292	2.72210308289353	2.74959918644799	2.63497401049465	2.66048624537412	2.88870269998636	2.7557575866412	2.9883653415058	2.95746762821591	2.67312322591012	2.65881516391969	2.73239241141716
Pseudomonas	2.26685456338487	2.3108463547731	2.40459756897635	2.3052686172836	2.3476945256348	2.43130905349894	2.21846697549227	2.18683496806103	2.32950992087428	2.3432654504685	2.31540826585389	2.18749992506674	2.22487009813328	2.20181052030499	2.27974512469207	3.95225186705935	2.49962283469433	2.26495092514809	2.24247987269602	2.39695089943315
Roseburia intestinalis et rel.	5.30622308545612	3.97605468694851	4.71290904710467	4.33968748597037	4.91977673140357	3.83852933506665	5.13034201983374	4.69024882200525	5.19177202286781	5.07962512474212	4.35521836810771	5.01284046065939	3.97301979267818	3.12468819903885	4.13307778030083	3.50166381501721	4.58548198474791	5.0025447615028	4.45384604710282	5.38157765787195
Ruminococcus bromii et rel.	4.05855124225256	4.16522910974726	4.43590813950156	4.42117018801017	4.13213973455083	2.79366243577431	3.65738363699902	5.08433090585134	4.68087084963597	3.98668715216667	4.59565971805086	3.91545565985678	2.95353295249089	2.63996151290264	3.43996989216718	2.8900190103105	3.99998273169535	4.35343174290375	3.90426892986761	4.43130959016719
Ruminococcus callidus et rel.	4.93211450785919	4.47060008335579	4.54259399298731	4.31556601099074	5.21798857033029	3.61575478247173	4.76678105313394	4.05498047616725	4.13220937636028	5.19189021835996	4.82596743203691	4.23860270605871	3.78320044367591	3.23768989959164	3.55518535741824	3.41752635069408	5.08345359173223	3.56935590379495	3.75029444826534	4.63272686095149
Ruminococcus gnavus et rel.	5.09225081141415	3.92647439970204	4.71205678854183	4.94322638357314	5.21276825443526	4.78575923310432	5.09091285994581	4.89330349715611	4.24890871088926	5.00603365406826	5.05226158129593	5.02261171585792	4.71105447312752	3.74606113902579	4.25948543290124	3.27403358383564	4.55886299674585	4.97307240461007	4.59552211203371	4.8947565621112
Ruminococcus lactaris et rel.	4.56197388974028	3.71608120949071	4.47586960146076	4.37995889198369	4.22143604482554	3.83642407441699	4.75928108293664	4.42041004211557	4.37165560461849	4.89851449947975	4.79330063393766	4.46787205361266	3.88488500858647	2.84848092305871	3.20194337442659	3.1505984800752	4.23704861012979	4.31441285322891	3.60725891322148	4.45802401383253
Ruminococcus obeum et rel.	5.36034346091969	4.91726790675637	5.68725231285877	6.09485796989727	5.81038193878955	5.68853484841253	5.62696426333221	5.64186445619284	5.11057536270605	5.75684235916445	5.45961678040082	5.41259498377089	5.50870598272225	3.92648912923754	5.4454712880638	4.02353334844096	5.39696988555564	5.25181436697532	4.8012388668724	5.42093216677784
Serratia	1.15715988863647	1.50100196843605	1.38152547055943	1.25394506576278	1.2624722084264	1.71405322532433	1.23374583178593	1.02780753863316	1.1448002259922	1.48231724621509	1.32181420193499	1.06631332174869	1.13503568432073	1.30668240945242	1.15168869553287	3.63553273097683	1.33193487674184	1.20875217825614	1.1583894479745	1.11132239766191
Sporobacter termitidis et rel.	4.89705398736243	5.19215400348084	5.08823365640516	4.23189451024684	4.33971673884771	3.53054924305877	4.70547893807996	3.89171625209307	4.67792313610045	4.38829464388048	4.30404138056943	4.39019146862038	3.96356815976274	3.439629630214	3.71323424133819	3.62550588938412	4.75283558226227	4.53551395236622	3.82479995861646	5.12690543549014
Staphylococcus	2.44096187242155	2.40357157876409	2.70410218349826	2.52648879362971	2.50255182780774	2.52510863992758	2.45556687435104	2.41522355410409	2.50364171959003	2.53090403333248	2.88154365914652	2.39809144255263	2.39417809455336	2.40154316376369	2.52341489459787	3.70969666706168	2.77495672894697	2.43439224404367	2.42101974260957	2.50304007532109
Streptococcus bovis et rel.	4.57173417714275	3.75292649637727	4.74637136636383	4.75329076444246	5.23560166308965	5.14839479830265	5.52843131285614	5.25025859167651	3.64414861246875	5.42318293441624	4.57804153687332	4.36078211173002	4.35120283187179	5.3562430537424	5.37807402376556	4.30684184758636	4.31757875057455	4.21932791678161	3.94036991376689	4.74907354154983
Streptococcus intermedius et rel.	3.63850558921789	3.06018002119036	3.72783090095856	3.96292058266976	4.5166101734314	4.34840578182055	4.64044781883012	4.20218819924319	3.25908699875097	4.34418527707552	3.57507445377843	3.48956505488779	3.35436403592901	4.37637729697521	4.40535510801792	3.77850144547235	3.53047871275952	3.10097685526919	3.38754799964463	4.01093939601881
Streptococcus mitis et rel.	4.22508433263877	3.21781627836409	4.16618145008209	4.35853230724361	5.04683380444385	4.88465872162015	5.1967182266089	4.89689936307251	3.64670591844796	5.06447597008188	4.27148537348197	3.97533499139423	3.72137959026767	4.90133187511828	4.98261093186279	4.23888273221995	3.84464124567803	3.28695243285005	3.80064845656167	4.38618988187665
Subdoligranulum variable at rel.	5.49431182625222	4.22336970623693	5.34960504009026	5.57310045092658	4.80766247399589	3.45187524384766	5.66546995394815	4.24460690904518	4.76626847741473	4.27763313100323	4.93667548429669	5.62425282287819	4.65558055633118	3.31727623844458	4.96939559099459	3.54439186940434	5.58091016313857	5.08267177198661	3.79295535479931	5.32191520683836
Sutterella wadsworthia et rel.	3.85364262892702	3.74565643737049	3.83459517077357	3.56224791167216	3.60962106933644	3.34209486407955	3.51384300714539	3.44688176151897	4.39694226816959	4.13961009153004	3.89552110786166	3.66741331110905	3.34454014012739	3.70062901959098	3.34994817197441	3.37075660017585	3.585101958555	3.29360071451317	4.40291761159126	3.93267581518239
Tannerella et rel.	4.60618029750749	4.79520379638515	4.89061644707473	3.84860949818729	4.21809684398532	3.29305113543655	3.60660905197553	3.26883528443443	5.22512736282092	4.71123775497304	4.07737590694004	4.81853497644474	3.20032145669159	3.28262668900332	3.32025807221836	3.42373119881885	3.79045111681428	3.26422546341058	4.76552406328828	4.36704582029083
Uncultured Bacteroidetes	2.68501370880912	3.2350419462058	4.29790939325879	2.30388498722288	2.14244030902836	1.90092546543833	2.0057969049026	1.8395137461507	3.6589429423489	2.95212977443237	2.92695036524323	3.30122632173041	1.85241308260789	1.85803392359556	1.9847989743796	1.98934867176419	2.83699957617925	1.92123564967235	3.10011265066758	3.19106657619748
Uncultured Chroococcales	2.37665620522731	2.3617767964524	2.47242000638869	2.38054648968637	2.37466280816942	2.3373599847163	2.54488209998047	2.25307908861935	2.81016435818609	2.31441572226785	2.34857995185517	2.26558185785181	2.29006991706869	2.25458601561498	2.36154564635963	2.45368111046086	2.52623970742192	2.30445679019311	2.29638350493213	2.43129326796826
Uncultured Clostridiales I	4.73966948481508	5.63659863647359	5.06300737698279	3.62653360465625	3.7446021224765	3.62591710744544	4.63482339929871	3.52944326900531	4.17636925623849	3.59396055437242	3.63851559795315	3.54546809374886	3.55119246268582	3.53477778604107	3.62720541775226	3.85027177453366	5.12543639964543	4.22212643963473	3.56090371183926	4.91327413288163
Uncultured Clostridiales II	4.89199658022845	5.35770230623444	4.35604823850867	4.13291547535867	4.09921193144508	3.57723392942641	4.26017941534289	3.53359273478887	4.23035481547644	3.95796864410941	3.76727298136296	3.8209277246428	3.71870291729142	3.48687097196994	3.61780835573659	3.80047428915571	4.81065550114641	4.41310917864695	3.76262733509483	5.25282097303977
Uncultured Mollicutes	3.60461311533193	3.73275050206437	4.56188394226292	3.55300736211044	3.42462384676935	3.36511091098047	3.42687967725157	3.34828509108997	3.50368290287446	3.37386879057235	3.44176277750728	3.32929021682132	3.29516445980098	3.2762955499803	3.37103079391221	3.45276020628091	4.78780388457747	3.61898813200228	3.30700361786329	4.37738474891429
Uncultured Selenomonadaceae	1.09094512524521	1.10304216232635	1.2634600270877	1.15589769715105	1.38255278435497	1.15942228744781	3.12474273978888	1.07406607926502	1.96153907539671	1.47096997162033	1.19611613984141	1.0718985314788	1.10540118995655	1.08570489605759	1.13733181382583	1.45596980068268	1.37218764485175	1.17974818832888	1.10669675367465	1.1419862827114
Veillonella	2.58152174314711	2.37374315126238	2.68563986565104	2.42055674392659	3.41254338918596	2.57098341277342	2.36645743141433	2.4128148929957	2.80205709136265	3.3077939636126	2.49820094968529	2.78585959888326	2.34734745361272	4.62222477641482	3.63769272833854	3.0651417785766	2.71173051772239	2.46110072584762	3.24769292181553	2.66391934420373
Vibrio	2.75447328393049	2.7810395473466	2.88107323247871	2.79781554009053	2.69751143479459	2.8107547823556	3.00072968747805	2.61690159408441	2.74905044557008	2.78320719419627	2.74265244777965	2.66676061015329	2.68779574989331	2.73492940285011	2.69105931553491	3.71966581677016	2.92621275845643	2.69594858528816	2.59112789874349	2.85914638290216
Weissella et rel.	2.66241344994372	2.47024633841636	2.69890620289121	2.85852224052584	2.67131408611904	2.5557928021949	2.71001972716959	2.48597779169502	2.64942715530937	2.84651345487688	2.87570981427225	2.5514535995173	2.62765231162089	2.48608407923283	2.63174441718329	2.60116682840465	2.76285722037406	2.50945365473686	2.47982722596324	2.75843662209659
Wissella et rel.	2.14500045128939	1.75722144031495	1.95720453902981	1.95555120507163	1.9833601756418	1.89462180030623	1.96336077120948	1.73019669221698	1.88037309014274	2.25076320740671	2.10239349523455	1.91134730408884	1.77269637592505	1.77026995175179	1.81503449212856	1.8414248610905	2.10918342768594	1.80509019577285	1.78491513069461	2.24975589036162
Xanthomonadaceae	3.11422234683083	3.24208390671285	2.67556221567685	2.51236231428128	2.62291213722341	2.52554974061739	2.64215035826656	2.5427514576611	2.87534120234245	2.55519797864269	2.50080961489381	2.55821024269399	2.3994849689175	2.92158483808219	2.52916442608688	2.5247068125079	2.64490279117659	2.5122454450255	2.38310799665592	3.12551773280641
Yersinia et rel.	2.66070261371635	2.61127068066702	2.8477991559592	2.70401067517527	2.69673157731789	2.77899029383515	2.67898655787273	2.610927385876	2.72586047903691	2.7124485250894	2.81549916807715	2.63224857019209	2.60488504910169	3.27962867352036	2.7253291356502	3.00904286436892	2.89126340845015	2.63755547589974	2.62290815644565	2.8342677356434
