	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20
Actinobacteria	136715.775427517	268894.02525781	102574.623217359	56933.392245615	25726.7668422886	182181.917665446	680289.244341839	599786.078584573	8591.67132073268	86688.1639254121	108220.131022282	153290.196215881	249180.210975165	614713.503701601	301602.538315721	59673.2753102773	61657.6377553569	158631.261126269	110213.646226709	404339.993718518
Asteroleplasma	236.317708124043	230.396420262539	348.244280629466	286.154130241807	278.497537569574	270.260699034912	226.401178914725	218.042882944856	292.13336619623	251.663507399221	278.068853860483	221.36231115314	231.711403822594	217.239925485779	265.575826856532	318.333917338005	421.954833417707	234.356245620578	233.288567691694	265.003613947636
Bacilli	67537.1007117195	15563.1861469326	88391.8316636484	106982.969758899	402322.012412076	249233.76909233	553165.398626402	284926.450599324	19807.7439572006	418052.533181343	71264.3754860694	43080.7022917112	37548.7288196171	374990.741477782	380105.824884283	63749.1937736804	51634.0288017658	27189.5332179898	24457.4241312068	104781.415590986
Bacteroidetes	416565.979138761	444523.696097875	1339274.56545845	169411.736569788	218641.378051338	18303.111358061	56126.7148851084	21282.5115461242	2874232.72954313	1207921.86072748	443546.214952838	1956076.83224937	15574.894664176	30384.9405674978	20551.9822056307	29777.8010845414	134833.664256744	21027.25707325	1455921.51276977	495145.960099626
Clostridium cluster I	5300.7495447466	55970.0835242291	9102.38373266779	4544.28644775399	4433.70987422146	6318.78281273448	6404.37343493763	127589.924339347	4406.48911255011	5831.02525955312	8518.8620800753	3276.21278480036	4624.40631307312	5525.20216420725	60012.4986983881	9787.59873119076	16144.5370559009	8338.81866989246	3600.24991766954	30816.9981310657
Clostridium cluster III	93807.4508369496	9615.70159936983	26067.021738824	39235.1684579883	59369.8311098604	1534.36588278952	45569.9440370088	39672.9727818273	3629.73529714086	22794.0925294846	13893.6605669927	10961.9334395271	100861.405092443	1239.45158043013	88295.9330708389	1772.02473434919	10451.1956221494	12584.2482895777	6010.53096798442	55026.3464137907
Clostridium cluster IV	1561164.99207225	1047808.51522178	1634833.91261706	1062516.77487414	1058307.52871	60851.4378990875	1577715.50986715	306121.067054673	1109658.00824787	1343946.76321183	987352.103563002	1301961.09682301	205087.891544951	37136.6871071194	165198.014746505	40267.7425926404	1875542.06237491	394984.061093308	194443.478731788	1787759.80764399
Clostridium cluster IX	51711.7000110191	12892.1993461955	47893.4104463663	11613.9258225381	15153.7760967892	4235.83498146976	131880.369731109	5648.13402153151	45690.679778166	17879.1336670761	21138.3611726439	64752.0770144896	3597.3668793162	54520.5093653516	8333.09190533802	6768.6393849252	18097.4877343139	7039.3643299792	16171.6556035575	38253.8799003916
Clostridium cluster XI	12750.0823727729	28839.6009599901	105607.641708644	44384.7925626111	10021.4454443113	7608.22106578527	42914.9098865128	107157.897481859	5617.67082618859	22155.305766052	43866.1353364655	12494.9204997707	8804.82232564565	3760.8347885422	19762.231760035	5213.57881929728	71447.6591794534	28328.6964183545	5826.12029414565	70662.6483895674
Clostridium cluster XIII	886.411025390164	908.581340026667	1322.53063484384	1051.44901525743	1106.10511661432	1044.14254831879	1078.22249822673	856.639894218764	1112.26381262477	979.248000697681	1082.19603632473	841.703090499261	878.403274424615	861.895043561537	1060.15323893448	1508.66181287832	1729.46714815627	954.552596162613	922.136865351252	987.860092863914
Clostridium cluster XIVa	2078213.39937938	531814.241905904	2642011.94362562	2626577.18857147	1947540.59456482	1361002.89844446	2740443.28271113	1911235.36309059	1371112.13315308	2902004.70409036	1616152.85398059	2130622.88928392	1675385.3836461	88249.0035150002	790162.7680408	73800.4381683806	1379452.34142006	1622842.01038691	775440.861569416	2749485.54907164
Clostridium cluster XV	1795.21106164993	1206.59422069346	2218.78774889713	4330.00071593404	1934.5007690718	1465.89254051229	1850.95310590472	1406.11800319385	1409.40295564964	1965.49927575979	1641.00297667149	1292.66381176673	1528.25730862955	1065.83605622068	1871.56566472157	1608.45947307646	2468.74670085003	1047.25412580099	973.490737257794	2446.4916550212
Clostridium cluster XVI	2740.91298481142	4075.60953600208	9463.36177728	3685.67907046882	3823.83663709278	6261.70509376294	3205.14526136151	2821.24716685947	4389.5605565172	6397.20223513748	45195.2387673705	35039.7213394463	1932.34059197213	3302.18788656891	2556.98067987238	2779.0696199005	4348.65320302583	2187.30579475463	4906.08299061778	8676.34622729055
Clostridium cluster XVII	250.220994245579	238.542254353761	654.052281052258	291.036028228559	295.735153749992	1542.66181960893	1052.37148668978	243.458434622849	300.5363961428	425.568094072811	3844.95016610436	570.17164525914	352.900460981586	218.892975351829	265.087281069869	560.813302887597	437.920217730964	332.093826449612	224.104683623396	331.06632629941
Clostridium cluster XVIII	2783.97021126472	1858.4180609742	29530.7023570736	6501.85125170254	4196.49275582757	75534.4572102021	33729.9149184246	5753.26093998829	2462.55071929182	12636.017406949	2853.89705307219	16167.4889629694	9395.37737615238	1407.7684410601	21729.0286978361	2289.40747561832	3553.15668347541	8091.01336696765	14563.8727859013	4003.02068385535
